Hexameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critical edition*,hyphenation,mans. version,epigrame no.,verse no.,κατὰ στίχον/ elegiac distich,metrical pattern & spondaic hex.,ms. metrical pattern,,syntactic caesura & bucolic diaeresis,,,,metrical caesura,,,,diaereses,,,,,,final word,word before caesura,bridge violations,,,,homodynia
"*Antologia Palatină, Cartea I. Poemele creștine, coord.: Simona Nicolae, co-authors: Ștefan Zară, Ștefan Lungu, Cristian Șimon, Sebastian Clinciu, Ecaterina Clinciu, Bucharest, Bucharest University Press, 2026",,,,,,,,first foot,triem,penth,hephth,bucolic,first foot,trihemim,penthem,hephth,D1,D2,D3,D4 (bucolic),D5,total,"oxyton=1, parox.=2, proparox.=3, perisp.-4, properisp.=5","oxyton=1, parox.=2, proparox.=3, perisp.-4, properisp.=5","Meyer
dactilic 2","Hermann
dactilic 4",Naeke spondaic 4,"Hilberg
spondaic 2",
"Θεῖος Ἰουστῖνος, Σοφίης πόσις, ᾧ πόρε Χριστὸς","Θεῖ#ος Ἰ#ουσ#τῖ#νος, Σο#φί#ης πό#σις, ᾧ πό#ρε Χρισ#τὸς",,2,1,distih,DSDDDT,,,,5M,,B,1F,,5M,7M,,,,1,1,2,1,"5, 2",,,,,1 5
"μητρὸς ἀπειρογάμοιο δόμον σκάζοντα νοήσας,","μη#τρὸς ἀ#πει#ρο#γά#μοι#ο δό#μον σκά#ζον#τα νο#ή#σας,",,2,3,distih,DDDSDS,,,,5F,,,1F,,5F,7M,,,,,,0,2,3,,,,,6
Ὁ πρὶν Ἰουστῖνος περικαλλέα δείματο νηὸν,Ὁ πρὶν Ἰ#ουσ#τῖ#νος πε#ρι#καλ#λέ#α δεί#μα#το νη#ὸν,Ὁ πρὶν Ἰουστῖνος περικαλλέα δείματο νηὼν ,3,1,distih,DSDDDT,DSDDDS ,,,5M,,,1F,,5M,,,,,1,1,2,1,5,,,,,5
ὁπλότερος δὲ μετ’ αὐτὸν Ἰουστῖνος βασιλεύων,ὁπ#λό#τε#ρος δὲ με#τ' αὐ#τὸν Ἰ#ουσ#τῖ#νος βα#σι#λεύ#ων,,3,3,distih,DDDSDS,,,,5F,,,,3F,5F,,,,,,,0,2,"1, 1",M,,,,6
"Tοῦτον Ἰωάννῃ, Χριστοῦ μεγάλῳ θεράποντι,","Tοῦ#τον Ἰ#ω#άν#νῃ, Χρισ#τοῦ με#γά#λῳ θε#ρά#πον#τι,",,4,1,hex,DSSDDT,,,,5M,,,1F,,5M,7M,,,,,,0,3,2,,,,,1 4
Στούδιος ἀγλαὸν οἶκον ἐδείματο· καρπαλίμως δὲ,Στού#δι#ος ἀγ#λα#ὸν οἶ#κον ἐ#δεί#μα#το· καρ#πα#λί#μως δὲ,,4,2,hex,DDDDDT,,,,,,B,,,5F,,1,1,,1,,3,1,3,,,,,1 3 4
"τῶν κάμεν εὕρετο μισθόν, ἑλὼν ὑπατηΐδα ῥάβδον.","τῶν κά#μεν εὕ#ρε#το μισ#θόν, ἑλ#ὼν ὑ#πα#τη#ΐ#δα ῥάβ#δον.",,4,3,hex,DDDDDT,,,,5F,,,1M,,5F,7M,1,1,,,1,3,2,1,,,,,1 2 4 6
"Tόνδε θεῷ κάμες οἶκον, Ἀμάντιε, μεσσόθι πόντου,","Tόν#δε θε#ῷ κά#μες οἶ#κον, Ἀ#μάν#τι#ε, μεσ#σό#θι πόν#του,",,5,1,distih,DDDDDS ,,,,5F,,B,1F,3M,5F,,,1,,1,1,3,2,"5, 3",,,,,1 2 3 4 6
"Οὐ νότος, οὐ βορέης ἱερὸν σέο δῶμα τινάξει,","Οὐ νό#τος, οὐ βο#ρέ#ης ἱ#ε#ρὸν σέ#ο δῶ#μα τι#νά#ξει,",,5,3,distih,DDDDDS,,,,5M,,,1M,,5M,,1,,,1,,2,2,2,,,,,4 5 6
Ζώοις ἤματα πολλά· σὺ γὰρ νεοθηλέα Ῥώμην,Ζώ#οις ἤ#μα#τα πολ#λά· σὺ γὰρ νε#ο#θη#λέ#α Ῥώ#μην,,5,5,distih,SDDDDS,,,,5F,,,,,5F,7M,1,1,1,,1,4,2,1,,,,,1 2 4 6
"Σφωράκιος ποίησε, φυγὼν φλόγα, μάρτυρι νηόν.","Σφω#ρά#κι#ος ποί#η#σε, φυ#γὼν φλό#γα, μάρ#τυ#ρι νη#όν.",,6,1,hex,DSDDDT,,,,5F,,B,,3M,5F,7M,,,,1,1,2,1,"3, 2",,,,,4  5
"Σφωράκιε, ζώοντι φίλα θρεπτήρια τίνων","Σφω#ρά#κι#ε, ζώ#ον#τι φί#λα θρεπ#τή#ρι#α τί#νων",,7,1,hex,DSDSDS,,,3M,,,,,3M,5F,7M,,,,,1,1,2,3,,,,,5 6
γήθεεν Ἀντόλιος σὸς ἀνεψιός· οἰχομένῳ δὲ,γή#θε#εν Ἀν#τό#λι#ος σὸς ἀ#νε#ψι#ός· οἰ#χο#μέ#νῳ δὲ,,7,2,hex,DDDDDT,,,,,,B,,,5M,,1,,,1,,2,1,1,,,,,1
"αἰεί σοι γεραρὴν τελέει χάριν, ὥστε καὶ ἄλλην","αἰ#εί σοι γε#ρα#ρὴν τε#λέ#ει χά#ριν, ὥσ#τε καὶ ἄλ#λην",,7,3,hex,SDDDDS,,,,,,B,,,5M,7M,1,,,1,1,3,2,2,,,,,3 5 6
εὗρε καὶ ἐν νηῷ σ' ἀνεθήκατο τὸν κάμες αὐτός.,εὗ#ρε καὶ ἐν νη#ῷ σ' ἀ#νε#θή#κα#το τὸν κά#μες αὐ#τός.,,7,4,hex,DSDDDT,,,,,,B,1F,,5M,,1,,,1,1,3,1,3,,,,,1 3 4 5
"Χριστὸν παμβασιλῆα φίλοις καμάτοισι γεραίρων,","Χρισ#τὸν παμ#βα#σι#λῆ#α φί#λοις κα#μά#τοι#σι γε#ραί#ρων,",,8,1,hex,SDDDDS,,,,5F,,,,,5F,7M,1,,,,,1,2,5,,,,,3 6
τοῦτον Ἰουστινιανὸς ἀγακλέα δείματο νηὸν,τοῦ#τον Ἰ#ουσ#τι#νι#α#νὸς ἀ#γακ#λέ#α δεί#μα#το νη#ὸν,,8,2,hex,DAbaccDDDT,,,,5F,,,1F,,5F,,,,,1,1,2,1,1,,,,,1 5
"Πέτρῳ καὶ Παύλῳ· θεράπουσι γὰρ εὖχος ὀπάζων,","Πέτ#ρῳ καὶ Παύ#λῳ· θε#ρά#που#σι γὰρ εὖ#χος ὀ#πά#ζων,",,8,3,hex,SSDDDS,,,,5M,,,,,5M,,1,,,1,,2,2,2,,H,,,1 2 5 6
αὐτῷ δή τις ἄνακτι φέρει πολυκυδέα τιμήν.,αὐ#τῷ δή τις ἄ#νακ#τι φέ#ρει πο#λυ#κυ#δέ#α τι#μήν.,,8,4,hex,SDDDDS,,,,5F,,,,,5F,7M,1,,,,1,2,1,3,M,,,,2
"Ἐνθάδε καὶ ψυχῇ, καὶ ὄμμασι κέρδος ἑτοῖμον·","Ἐν#θά#δε καὶ ψυ#χῇ, καὶ ὄμ#μα#σι κέρ#δος ἑ#τοῖ#μον·",,8,5,hex,DSSDDT,,,,5M,,,,,5M,,1,,1,1,,3,5,4,,,,,2 3 4 5 6
"εὐχαῖσιν μὲν ἕκαστος ὅ τι χρέος ἐστὶν ἑλέσθω,","εὐ#χαῖ#σιν μὲν ἕ#κασ#τος ὅ τι χρέ#ος ἐσ#τὶν ἑ#λέσ#θω,",,8,6,hex,SDDDDS,,,,5F,,,,,5F,,,,1,1,,2,2,3,M,,,,6
τερπέσθω δὲ ὁρῶν κάλλος καὶ δώματος αἴγλην.,τερ#πέσ#θω δὲ ὁ#ρῶν κάλ#λος καὶ δώ#μα#τος αἴγ#λην.,,8,7,hex,SDSSDS,,,,5M,,,,3F,5M,7M,,,,1,1,2,2,4,M,,N,,3 5 6
"Καὶ τόδε σῶν καμάτων παναοίδιμον ἔργον ἐτύχθη,","Καὶ τό#δε σῶν κα#μά#των παν#α#οί#δι#μον ἔρ#γον ἐ#τύχ#θη,",,9,1,hex,DDDDDS,,,,5M,,,1M,,5M,,1,,,1,,2,2,2,,,,,1 2 4 5 6
Tεῤῥάδιε κλυτόμητι· σὺ γὰρ περικαλλέα νηὸν,Tεῤ#ῥά#δι#ε κλυ#τό#μη#τι· σὺ γὰρ πε#ρι#καλ#λέ#α νη#ὸν,,9,2,hex,DDDDDT,,,,5F,,,,3M,5F,,,,1,,1,2,1,3,,,,,4
ἀγγελικῆς στρατιῆς σημάντορος αὖτις ἔδειξας.,ἀγ#γε#λι#κῆς στρα#τι#ῆς ση#μάν#το#ρος αὖ#τις ἔ#δει#ξας.,,9,3,hex,DDSDDT,,,,5M,,,,3M,5M,,,,,1,,1,3,4,,,,,2 3 4 5
"Εὐδοκίη μὲν ἄνασσα, θεὸν σπεύδουσα γεραίρειν,","Εὐ#δο#κί#η μὲν ἄ#νασ#σα, θε#ὸν σπεύ#δου#σα γε#ραί#ρειν,",,10,1,hex,DDDSDS,,,,5F,,,,,5F,7M,,,,,,0,2,3,M,,,,4 6
πρώτη νηὸν ἔτευξε θεοφραδέος Πολυεύκτου·,πρώ#τη νη#ὸν ἔ#τευ#ξε θε#οφ#ρα#δέ#ος Πο#λυ#εύκ#του·,,10,2,hex,SDDDDS,,,,5F,,,,3F,5F,,1,,,,,1,2,3,M,,,,1 6
"ἀλλ' οὐ τοῖον ἔτευξε καὶ οὐ τόσον· οὔ τινι φειδοῖ,","ἀλ#λ' οὐ τοῖ#ον ἔ#τευ#ξε καὶ οὐ τό#σον· οὔ τι#νι φει#δοῖ,",,10,3,hex,SDDDDS,,,,,,B,,3F,5F,,1,,1,1,1,4,4,2,M,,,,2 5
οὐ κτεάτων χατέουσα − τίνος βασίλεια χατίζει; −,οὐ κτε#ά#των χα#τέ#ου#σα – τί#νος βα#σί#λει#α χα#τί#ζει; –,,10,4,hex,DDDDDS,,,,5F,,,1M,3M,5F,7M,,,,,,0,2,3,,,,,6
"ἀλλ' ὡς θυμὸν ἔχουσα θεοπρόπον, ὅττι γενέθλην","ἀλ#λ' ὡς θυ#μὸν ἔ#χου#σα θε#οπ#ρό#πον, ὅτ#τι γε#νέθ#λην",,10,5,hex,SDDDDS,,,,,,B,,3F,5F,,1,,,1,,2,2,2,M,,,,5 6
καλλείψει δεδαυῖαν ἀμείνονα κόσμον ὀπάζειν.,καλ#λεί#ψει δε#δα#υῖ#αν ἀ#μεί#νο#να κόσ#μον ὀ#πά#ζειν.,,10,6,hex,SDDDDS,,,,5F,,,,3M,5F,,,,,1,,1,2,5,,,,,3 4 5 6
"Ἔνθεν Ἰουλιανή, ζαθέων ἀμάρυγμα τοκήων,","Ἔν#θεν Ἰ#ου#λι#α#νή, ζα#θέ#ων ἀ#μά#ρυγ#μα το#κή#ων,",,10,7,hex,DDDDDS,,,,5M,,,1F,,5M,7M,,,,,,0,2,1,,,,,1 3 6
"τέτρατον ἐκ κείνων βασιλήϊον αἷμα λαχοῦσα,","τέτ#ρα#τον ἐκ κεί#νων βα#σι#λή#ϊ#ον αἷ#μα λα#χοῦ#σα,",,10,8,hex,DSDDDT,,,,5M,,,,,5M,,1,,,1,,2,5,2,,,,,1 4 5 6
"ἐλπίδας οὐκ ἔψευσεν ἀριστώδινος ἀνάσσης,","ἐλ#πί#δας οὐκ ἔ#ψευ#σεν ἀ#ρισ#τώ#δι#νος ἀ#νάσ#σης,",,10,9,hex,DSDSDS,,,,5F,,,,,5F,,1,,,,,1,2,3,,,,,6
"ἀλλά μιν ἐκ βαιοῖο μέγαν καὶ τοῖον ἐγείρει,","ἀλ#λά μιν ἐκ βαι#οῖ#ο μέ#γαν καὶ τοῖ#ον ἐ#γεί#ρει,",,10,10,hex,DSDSDS,,,,5F,,,1F,,5F,7M,1,,,1,,2,2,5,,,N,,3 5 6
κῦδος ἀεξήσασα πολυσκήπτρων γενετήρων·,κῦ#δος ἀ#ε#ξή#σα#σα πο#λυσ#κήπ#τρων γε#νε#τή#ρων·,,10,11,hex,DSDSDS,,,,5F,,,1F,,5F,,,,,,,0,2,3,,,,,1 6
"πάντα γὰρ ὅσσα τέλεσσεν ὑπέρτερα τεῦξε τοκήων,","πάν#τα γὰρ ὅσ#σα τέ#λεσ#σεν ὑ#πέρ#τε#ρα τεῦ#ξε το#κή#ων,",,10,12,hex,DDDDDS,,,,5F,,,1F,,5F,,1,,,1,,2,2,3,M,,,,1 2 4 5 6
ὀρθὴν πίστιν ἔχουσα φιλοχρίστοιο μενοινῆς.,ὀρ#θὴν πίσ#τιν ἔ#χου#σα φι#λοχ#ρίσ#τοι#ο με#νοι#νῆς.,,10,13,hex,SDDSDS,,,,5F,,,,,5F,,1,,,,,1,4,3,M,,,,2
"Τίς γὰρ Ἰουλιανὴν οὐκ ἔκλυεν, ὅττι καὶ αὐτοὺς","Τίς γὰρ Ἰ#ου#λι#α#νὴν οὐκ ἔκ#λυ#εν, ὅτ#τι καὶ αὐ#τοὺς",,10,14,hex,DDSDDS,,,,,,B,"1F, 1M",,5M,,,,1,1,1,3,1,3,,,,,1 3 4 5
"εὐκαμάτοις ἔργοισιν ἑοὺς φαίδρυνε τοκῆας,","εὐ#κα#μά#τοις ἔρ#γοι#σιν ἑ#οὺς φαί#δρυ#νε το#κῆ#ας,",,10,15,hex,DSDSDT,,,,5F,,,,3M,5F,,,,,,,0,5,3,,,,,4 6
εὐσεβίης ἀλέγουσα; Μόνη δ' ἱδρῶτι δικαίῳ,εὐ#σε#βί#ης ἀ#λέ#γου#σα; Μό#νη δ' ἱδ#ρῶ#τι δι#καί#ῳ,,10,16,hex,DDDSDS,,,,5F,,,,3M,5F,7M,,,,,,0,2,3,,,,,5 6
ἄξιον οἶκον ἔτευξεν ἀειζώῳ Πολυεύκτῳ.,ἄ#ξι#ον οἶ#κον ἔ#τευ#ξεν ἀ#ει#ζώ#ῳ Πο#λυ#εύκ#τῳ.,,10,17,hex,DDDSDS,,,,5F,,,,3F,5F,,1,,,,,1,2,3,M,,,,1 2 6
Καὶ γὰρ ἀεὶ δεδάηκεν ἀμεμφέα δῶρα κομίζειν,Καὶ γὰρ ἀ#εὶ δε#δά#η#κεν ἀ#μεμ#φέ#α δῶ#ρα κο#μί#ζειν,,10,18,hex,DDDDDS,,,,5F,,,"1F, 1M",3M,5F,,,,,1,,1,2,3,,,,,1 2 5 6
πᾶσιν ἀεθλητῆρσιν ἐπουρανίου βασιλῆος.,πᾶ#σιν ἀ#εθ#λη#τῆρ#σιν ἐπ#ου#ρα#νί#ου βα#σι#λῆ#ος.,,10,19,hex,DSDDDT,,,,5F,,,1F,,5F,,,,,,,0,5,5,,,,,1 3 6
"Πᾶσα χθὼν βοάᾳ, πᾶσα πτόλις, ὅττι τοκῆας","Πᾶ#σα χθὼν βο#ά#ᾳ, πᾶ#σα πτό#λις, ὅτ#τι το#κῆ#ας",,10,20,hex,SDSDDT,,,,5M,,B,,,5M,,1,,,1,,2,5,"2, 2",,,,,1 2 5 6
φαιδροτέρους ποίησεν ἀρειοτέροισιν ἐπ' ἔργοις.,φαι#δρο#τέ#ρους ποί#η#σεν ἀ#ρει#ο#τέ#ροι#σιν ἐ#π' ἔρ#γοις.,,10,21,hex,DSDDDS,,,,5F,,,,3M,5F,,,,,,,0,2,3,,,,,6
Ποῦ γὰρ Ἰουλιανὴν ἁγίοις οὐκ ἔστιν ἰδέσθαι,Ποῦ γὰρ Ἰ#ου#λι#α#νὴν ἁ#γί#οις οὐκ ἔσ#τιν ἰ#δέσ#θαι,,10,22,hex,DDDSDS,,,,5M,,,"1F, 1M",,5M,7M,,,,1,,1,2,1,,,N?,,1 3 5 6
νηὸν ἀναστήσασαν ἀγακλέα; Ποῦ σέο μούνης,νη#ὸν ἀ#νασ#τή#σα#σαν ἀ#γακ#λέ#α; Ποῦ σέ#ο μού#νης,,10,23,hex,DSDDDS,,,,,,B,1F,,5F,,,,,1,1,2,2,2,,,,,5 6
εὐσεβέων οὐκ ἔστιν ἰδεῖν σημήϊα χειρῶν;,εὐ#σε#βέ#ων οὐκ ἔσ#τιν ἰ#δεῖν ση#μή#ϊ#α χει#ρῶν;,,10,24,hex,DSDSDS,,,3M,,7M,,,3M,5F,7M,,1,,,1,2,4,"2, 4",,,,H?,3 4 5
"Ποῖος δ' ἔπλετο χῶρος, ὃς οὐ μάθε σεῖο μενοινὴν","Ποῖ#ος δ' ἔπ#λε#το χῶ#ρος, ὃς οὐ μά#θε σεῖ#ο με#νοι#νὴν",,10,25,hex,SDDDDS,,,,5F,,,,,5F,,1,1,1,1,,4,1,5,,,,,1 2 3 5
εὐσεβίης πλήθουσαν; Ὅλης χθονὸς ἐνναετῆρες,εὐ#σε#βί#ης πλή#θου#σαν; Ὅ#λης χθο#νὸς ἐν#να#ε#τῆ#ρες,,10,26,hex,DSDDDT,,,,5F,,,,3M,5F,,,,,1,,1,2,3,,,,,6
σοὺς καμάτους μέλπουσιν ἀειμνήστους γεγαῶτας.,σοὺς κα#μά#τους μέλ#που#σιν ἀ#ει#μνήσ#τους γε#γα#ῶ#τας.,,10,27,hex,DSDSDT,,,,5F,,,1M,3M,5F,,,,,,,0,2,3,,,,,1 6
Ἔργα γὰρ εὐσεβίης οὐ κρύπτεται· οὐ γὰρ ἀέθλους,Ἔρ#γα γὰρ εὐ#σε#βί#ης οὐ κρύπ#τε#ται· οὐ γὰρ ἀ#έθ#λους,,10,28,hex,DDSDDS,,,,5M,,B,1F,,5M,,1,,1,1,,3,2,"2, 3",,,,,1 4 6
λήθη ἀποσβέννυσιν ἀριστοπόνων ἀρετάων.,λή#θη ἀ#ποσ#βέν#νυ#σιν ἀ#ρισ#το#πό#νων ἀ#ρε#τά#ων.,,10,29,hex,DSDDDS,,,,5F,,,1F,,5F,,,,,,,0,2,3,,,,,1 6
Ὅσσα δὲ σὴ παλάμη θεοπειθέα δώματα τεύχει,Ὅσ#σα δὲ σὴ πα#λά#μη θε#ο#πει#θέ#α δώ#μα#τα τεύ#χει,,10,30,hex,DDDDDS,,,,5M,,,1F,,5M,,1,,,1,1,3,2,2,,,,,1 2 5 6
"οὐδ' αὐτὴ δεδάηκας· ἀμετρήτους γάρ, ὀΐω,","οὐ#δ' αὐ#τὴ δε#δά#η#κας· ἀ#μετ#ρή#τους γάρ, ὀ#ΐ#ω,",,10,31,hex,SDDSDS,,,,5F,,,,3M,5F,,,,,,,0,2,3,,,,,2 6
"μούνη σὺ ξύμπασαν ἀνὰ χθόνα δείμαο ναούς,","μού#νη σὺ ξύμ#πα#σαν ἀ#νὰ χθό#να δεί#μα#ο να#ούς,",,10,32,hex,SSDDDS,,,3M,,,B,,,5F,,1,,,1,1,3,1,"1, 2",,,,,1 2 4 5
οὐρανίου θεράποντας ἀεὶ τρομέουσα θεοῖο.,οὐ#ρα#νί#ου θε#ρά#πον#τας ἀ#εὶ τρο#μέ#ου#σα θε#οῖ#ο.,,10,33,hex,DDDDDT,,,,5F,,,,3M,5F,7M,,,,,,0,5,3,,,,,4 6
Ἴχνεσι δ' εὐκαμάτοισιν ἐφεσπομένη γενετήρων,Ἴχ#νε#σι δ' εὐ#κα#μά#τοι#σιν ἐ#φεσ#πο#μέ#νη γε#νε#τή#ρων,ἴχνευσι δ' εὐκαμάτοισιν ἐφεσπομένη γενετήρων,10,34,hex,DDDDDS,Abacc.DDDDS ,,,5F,,,,,5F,,1,,,,,1,2,3,,,,,1 6
"πᾶσιν, ἀειζώουσαν ἑὴν τεκτήνατο φύτλην,","πᾶ#σιν, ἀ#ει#ζώ#ου#σαν ἑ#ὴν τεκ#τή#να#το φύ#τλην,",,10,35,hex,DSDSDS,,,,5F,,,1F,,5F,7M,,,,,1,1,2,3,,,,,1 4 5 6
εὐσεβίης ξύμπασαν ἀεὶ πατέουσα πορείην.,εὐ#σε#βί#ης ξύμ#πα#σαν ἀ#εὶ πα#τέ#ου#σα πο#ρεί#ην.,,10,36,hex,DSDDDS,,,,5F,,,,3M,5F,7M,,,,,,0,2,3,,,,,4 6
"Τοὔνεκά μιν θεράποντες ἐπουρανίου βασιλῆος,","Τοὔ#νε#κά μιν θε#ρά#πον#τες ἐπ#ου#ρα#νί#ου βα#σι#λῆ#ος,",,10,37,hex,DDDDDT,,,3M,,,,,3M,5F,,1,,,,,1,5,2,,,,,1 6
"ὅσσοις δῶρα δίδωσιν, ὅσοις δωμήσατο νηούς,","ὅσ#σοις δῶ#ρα δί#δω#σιν, ὅσ#οις δω#μή#σα#το νη#ούς,",,10,38,hex,SDDSDS,,,,5F,,,,3F,5F,,1,,,,1,2,1,3,M,,,,1 2 5
προφρονέως ἐρύεσθε σὺν υἱέϊ τοῖό τε κούραις·,προφ#ρο#νέ#ως ἐ#ρύ#εσ#θε σὺν υἱ#έ#ϊ τοῖ#ό τε κού#ραις·,,10,39,hex,DDDDDS,,,,5F,,,,3M,5F,,,,1,1,1,3,2,3,,,,,5 6
"μίμνοι δ' ἄσπετον εὖχος ἀριστοπόνοιο γενέθλης,","μίμ#νοι δ' ἄσ#πε#τον εὖ#χος ἀ#ρισ#το#πό#νοι#ο γε#νέθ#λης,",,10,40,hex,SDDDDS,,,,5F,,,,,5F,,1,1,,,,2,2,5,,,,,1 2 3 6
εἰσόκεν ἠέλιος πυριλαμπέα δίφρον ἐλαύνει.,εἰσ#ό#κεν ἠ#έ#λι#ος πυ#ρι#λαμ#πέ#α δίφ#ρον ἐ#λαύ#νει.,,10,41,hex,DDDDDS,,,,5M,,,,,5M,,1,,,1,,2,2,3,,,,,5 6
