Hexameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ποῖος Ἰουλιανῆς χορὸς ἄρκιός ἐστιν ἀέθλοις,","Ποῖ#ος Ἰ#ου#λι#α#νῆς χο#ρὸς ἄρ#κι#ός ἐσ#τιν ἀ#έθ#λοις,",,10,42,hex,DDDDDS,,,,5M,,,1F,,5M,,,,1,1,,2,2,4,,,,,1 3 4 6
"ἣ μετὰ Κωνσταντῖνον, ἑῆς κοσμήτορα Ῥώμης,","ἣ με#τὰ Κων#σταν#τῖ#νον, ἑ#ῆς κοσ#μή#το#ρα Ῥώ#μης,",,10,43,hex,DSDSDS,,,,5F,,,1M,,5F,,1,,,,1,2,2,5,,,,,1 3 4 5 6
"καὶ μετὰ Θευδοσίου παγχρύσεον ἱερὸν ὄμμα,","καὶ με#τὰ Θευ#δο#σί#ου παγ#χρύ#σε#ον ἱ#ε#ρὸν ὄμ#μα,",,10,44,hex,DDSDDT,,,,5M,,,1M,,5M,,1,,,1,1,3,2,2,,,,,1 4 6
"καὶ μετὰ τοσσατίων προγόνων βασιληΐδα ῥίζαν,","καὶ με#τὰ τοσ#σα#τί#ων προ#γό#νων βα#σι#λη#ΐ#δα ῥί#ζαν,",,10,45,hex,DDDDDT,,,,,7M,,1M,,5M,7M,1,,,,1,2,2,2,,,,,1 6
ἄξιον ἧς γενεῆς καὶ ὑπέρτερον ἤνυσεν ἔργον,ἄ#ξι#ον ἧς γε#νε#ῆς καὶ ὑ#πέρ#τε#ρον ἤ#νυ#σεν ἔρ#γον,,10,46,hex,DDDDDT,,,,5M,,,,3M,5M,,1,,,1,1,3,2,4,,,,,1 2 3 4 5 6
"εἰν ὀλίγοις ἐτέεσσι; Χρόνον δ' ἐβιήσατο μούνη,","εἰν ὀ#λί#γοις ἐ#τέ#εσ#σι; Χρό#νον δ' ἐ#βι#ή#σα#το μού#νη,",,10,47,hex,DDDDDS,,,,5F,,,1M,3M,5F,7M,,,,,1,1,2,3,,,,,5 6
"καὶ σοφίην παρέλασσεν ἀειδομένου Σολομῶνος,","καὶ σο#φί#ην πα#ρέ#λασ#σεν ἀ#ει#δο#μέ#νου Σο#λο#μῶ#νος,",,10,48,hex,DDDDDT,,,,5F,,,1M,3M,5F,,,,,,,0,5,3,,,,,1 6
"νηὸν ἀναστήσασα θεηδόχον, οὗ μέγας αἰὼν","νη#ὸν ἀ#νασ#τή#σα#σα θε#η#δό#χον, οὗ μέ#γας αἰ#ὼν",,10,49,hex,DSDDDS,,,,,,B,1F,,5F,,,,,1,1,2,1,2,,,,,5
οὐ δύναται μέλψαι χαρίτων πολυδαίδαλον αἴγλην.,οὐ δύ#να#ται μέλ#ψαι χα#ρί#των πο#λυ#δαί#δα#λον αἴ#γλην.,,10,50,hex,DSDDDS,,,,5M,,,1M,3M,5M,7M,,,,,1,1,2,2,,,,,5 6
"Oἷος μὲν προβέβηκε βαθυῤῥίζοισι θεμέθλοις,","Oἷ#ος μὲν προ#βέ#βη#κε βα#θυῤ#ῥί#ζοι#σι θε#μέθ#λοις,",,10,51,hex,SDDSDS,,,,5F,,,,3M,5F,,1,,,,,1,2,3,,,,,1 2 6
νέρθεν ἀναθρώσκων τε καὶ αἰθέρος ἄστρα διώκων·,νέρ#θεν ἀ#ναθ#ρώσ#κων τε καὶ αἰ#θέ#ρος ἄσ#τρα δι#ώ#κων·,νέρθεν ἀναθρώσκων καὶ αἰθέρος ἄστρα διώκων·,10,52,hex,DSDDDS,DSTDDS ,,,5F,,,1F,,5F,,,,1,1,,2,2,3,,,,,1 5 6
"οἷος δ' ἀντολίης μηκύνεται ἐς δύσιν ἕρπων,","οἷ#ος δ' ἀν#το#λί#ης μη#κύ#νε#ται ἐς δύ#σιν ἕρ#πων,",,10,53,hex,SDSDDS,,,,5M,,,,,5M,,1,,,1,1,3,2,2,,,,,1 4 6
ἀῤῥήτοις Φαέθοντος ὑπαστράπτων ἀμαρυγαῖς,ἀῤ#ῥή#τοις Φα#έ#θον#τος ὑ#πασ#τράπ#των ἀ#μα#ρυ#γαῖς,,10,54,hex,SDDSDS,,,,5F,,,,3M,5F,,,,,,,0,4,3,,,,,
τῇ καὶ τῇ πλευρῇσι· μέσης δ' ἑκάτερθε πορείης,τῇ καὶ τῇ πλευ#ρῇ#σι· μέ#σης δ' ἑ#κά#τερ#θε πο#ρεί#ης,,10,55,hex,SSDDDS,,,,5F,,,1M,,5F,7M,1,,,,,1,2,5,,,,,1 2 3 6
κίονες ἀῤῥήκτοις ἐπὶ κίοσιν ἑστηῶτες,κί#ο#νες ἀῤ#ῥήκ#τοις ἐ#πὶ κί#ο#σιν ἑσ#τη#ῶ#τες,,10,56,hex,DSDDST,,,,,,B,,,5M,,1,,1,1,,3,5,3,,,,,1 4 6
χρυσορόφου ἀκτῖνας ἀερτάζουσι καλύπτρης·,χρυ#σο#ρό#φου ἀκ#τῖ#νας ἀ#ερ#τά#ζου#σι κα#λύπ#τρης·,,10,57,hex,DSDSDS,,,,5F,,,,3M,5F,,,,,,,0,2,5,,,,,3  6
κόλποι δ' ἀμφοτέρωθεν ἐπ' ἀψίδεσσι χυθέντες,κόλ#ποι δ' ἀμ#φο#τέ#ρω#θεν ἐ#π' ἀ#ψί#δεσ#σι χυ#θέν#τες,,10,58,hex,SDDSDT,,,,5F,,,,,5F,,1,,,,,1,2,3,,,,,1 6
φέγγος ἀειδίνητον ἐμαιώσαντο σελήνης·,φέγ#γος ἀ#ει#δί#νη#τον ἐ#μαι#ώ#σαν#το σε#λή#νης·,,10,59,hex,DSDSDS,,,,5F,,,1F,,5F,,,,,,,0,2,2,,,,,1 6
τοῖχοι δ' ἀντιπέρηθεν ἀμετρήτοισι κελεύθοις,τοῖ#χοι δ' ἀν#τι#πέ#ρη#θεν ἀ#μετ#ρή#τοι#σι κε#λεύ#θοις,,10,60,hex,SDDSDS,,,,5F,,,,,5F,,1,,,,,1,2,3,,,,,1 6
"θεσπεσίους λειμῶνας ἀνεζώσαντο μετάλλων,","θεσ#πε#σί#ους λει#μῶ#νας ἀ#νε#ζώ#σαν#το με#τάλ#λων,",,10,61,hex,DSDSDS,,,,5F,,,,3M,5F,,,,,,,0,2,5,,,,,3 6
οὓς φύσις ἀνθήσασα μέσοις ἐνὶ βένθεσι πέτρης,οὓς φύ#σις ἀν#θή#σα#σα μέ#σοις ἐ#νὶ βέν#θε#σι πέ#τρης,,10,62,hex,DSDDDS,,,,5F,,,1M,,5F,,1,,,1,1,3,2,3,,,,,1  5 6
"ἀγλαΐην ἔκλεπτε, θεοῦ δ' ἐφύλασσε μελάθροις","ἀγ#λα#ΐ#ην ἔκ#λεπ#τε, θε#οῦ δ' ἐ#φύ#λασ#σε με#λάθ#ροις",,10,63,hex,DSDDDS,,,,5F,,,,3M,5F,7M,,,,,,0,2,3,,,,,4 6
"δῶρον Ἰουλιανῆς, ἵνα θέσκελα ἔργα τελέσσῃ,","δῶ#ρον Ἰ#ου#λι#α#νῆς, ἵ#να θέσ#κε#λα ἔρ#γα τε#λέσ#σῃ,",,10,64,hex,DDDDDS,,,,5M,,,1F,,5M,,,,1,1,,2,2,4,,,,,1 3 4 5 6
ἀχράντοις κραδίης ὑπὸ νεύμασι ταῦτα καμοῦσα.,ἀχ#ράν#τοις κρα#δί#ης ὑ#πὸ νεύ#μα#σι ταῦ#τα κα#μοῦ#σα.,,10,65,hex,SDDDDT,,,,,,B,,3M,5M,,,,1,1,,2,5,3,,,,,4 5 6
Τίς δὲ φέρων θοὸν ἴχνος ἐπὶ ζεφυρηΐδας αὔρας,Τίς δὲ φέ#ρων θο#ὸν ἴχ#νος ἐ#πὶ ζε#φυ#ρη#ΐ#δας αὔ#ρας,,10,66,hex,DDDDDS,,,,5F,,,"1M, 1F",3M,5F,,,1,,,1,2,2,2,,,,,1 3  4 6
"ὑμνοπόλος σοφίης, ἑκατὸν βλεφάροισι πεποιθώς,","ὑμ#νο#πό#λος σο#φί#ης, ἑ#κα#τὸν βλε#φά#ροι#σι πε#ποι#θώς,",,10,67,hex,DDDDDS,,,,5M,,,,3M,5M,7M,,,,,,0,1,2,,,,,4
"τοξεύσει ἑκάτερθε πολύτροπα δήνεα τέχνης,","το#ξεύ#σει ἑ#κά#τε#ρθε πο#λύτ#ρο#πα δή#νε#α τέχ#νης,","τοξεύσει ἑκάτερθε πολύτροπα λίνεα τέχνης,",10,68,hex,SDDDDS,SDDDApS,,,5F,,,,3M,5F,,,,,1,1,2,2,3,,,,,4 5 6
"οἶκον ἰδὼν λάμποντα, περίδρομον ἄλλον ἐπ' ἄλλῳ;","οἶ#κον ἰ#δὼν λάμ#πον#τα, πε#ρίδ#ρο#μον ἄλ#λον ἐ#π' ἄλ#λῳ;","οἶκον δ' ἰδὼν λάμποντα, περίδρομον ἄλλον ἐπ' ἄλλῳ;",10,69,hex,DSDDDS,Abacc.SDDDS ,,,5F,,,1F,3M,5F,,,,,1,,1,2,3,,,,,1 2 4 5 6
Ἔνθεν καὶ γραφίδων ἱερῶν ὑπὲρ ἄντυγος αὐλῆς,Ἔν#θεν καὶ γρα#φί#δων ἱ#ε#ρῶν ὑ#πὲρ ἄν#τυ#γος αὐ#λῆς,ἔνθ' ἵνα καὶ γραφίδων ἱερῶν ὑπὲρ ἄντυγος αὐλῆς,10,70,hex,SDDDDS,DDDDDS,,,,7M,,,,5M,7M,1,,,1,1,3,4,4,,,,,1 2 4 5
"ἔστιν ἰδεῖν μέγα θαῦμα, πολύφρονα Κωνσταντῖνον,","ἔσ#τιν ἰ#δεῖν μέ#γα θαῦ#μα, πο#λύφ#ρο#να Κων#σταν#τῖ#νον,",,10,71,hex,DDDDST,,,,5F,,,1F,3M,5F,,,1,,1,,2,5,5,,,,,1 2 3 4 6
πῶς προφυγὼν εἴδωλα θεημάχον ἔσβεσε λύσσαν,πῶς προ#φυ#γὼν εἴ#δω#λα θε#η#μά#χον ἔσ#βε#σε λύσ#σαν,,10,72,hex,DSDDDT,,,,5F,,,1M,3M,5F,,,,,1,1,2,2,3,,,,,1 2 5 6
καὶ Τριάδος φάος εὗρ<εν> ἐν ὕδασι γυῖα καθήρας.,καὶ Τρι#ά#δος φά#ος εὗ#ρ<εν> ἐν ὕ#δα#σι γυῖ#α κα#θή#ρας.,καὶ Τριάδος φάος εὗρ ἐν ὕδασι γυῖα καθήρας.,10,73,hex,DDDDDS,DDDPDS,,,5F,,,1M,3M,5F,,,1,1,1,,3,2,5,,,,,1 3 4 5 6
"Τοῖον Ἰουλιανή, μετὰ μυρίον ἑσμὸν ἀέθλων,","Τοῖ#ον Ἰ#ου#λι#α#νή, με#τὰ μυ#ρί#ον ἑσ#μὸν ἀ#έθ#λων,",,10,74,hex,DDDDDS,,,,5M,,,1F,,5M,,,,1,1,,2,2,1,,,,,1 3 6
ἤνυσε τοῦτον ἄεθλον ὑπὲρ ψυχῆς γενετήρων,ἤ#νυ#σε τοῦ#τον ἄ#εθ#λον ὑ#πὲρ ψυ#χῆς γε#νε#τή#ρων,,10,75,hex,DDDSDS,,,,5F,,,,3F,5F,,1,,,,,1,2,3,M,,,,1 2 4 5 6
καὶ σφετέρου βιότοιο καὶ ἐσσομένων καὶ ἐόντων.,καὶ σφε#τέ#ρου βι#ό#τοι#ο καὶ ἐσ#σο#μέ#νων καὶ ἐ#όν#των.,,10,76,hex,DDDDDS,,,,5F,,,1M,3M,5F,,,,1,,,1,2,3,,,,,1 6
"Eἰμὶ δόμος Τριάδος, τρισσὴ δέ με τεῦξε γενέθλη.","Eἰ#μὶ δό#μος Τρι#ά#δος, τρισ#σὴ δέ με τεῦ#ξε γε#νέθ#λη.",,12,1,hex,DDSDDS,,,,5M,,,1F,3M,5M,,,,,1,,1,2,2,,H,,,4 5 6
Πρώτη μὲν πολέμους καὶ βάρβαρα φῦλα φυγοῦσα,Πρώ#τη μὲν πο#λέ#μους καὶ βάρ#βα#ρα φῦ#λα φυ#γοῦ#σα,,12,2,hex,SDSDDT,,,,5M,,,1F,3M,5M,,1,,1,1,,3,5,2,,,,,1 2 4 5 6
"τεύξατο καὶ μ' ἀνέθηκε θεῷ, ζωάγρια μόχθων,","τεύ#ξα#το καὶ μ' ἀ#νέ#θη#κε θε#ῷ, ζω#άγ#ρι#α μόχ#θων,",,12,3,hex,DDDSDS,,,,,7M,,,3M,5F,7M,1,,,,1,2,2,4,,,,,1 2 4 5 6
Θευδοσίου θυγάτηρ Εὐδοξία· ἐκ δέ με κείνης,Θευ#δο#σί#ου θυ#γά#τηρ Εὐ#δο#ξί#α· ἐκ δέ με κεί#νης,,12,4,hex,DDSDDS,,,,5M,,B,,3M,5M,,,,,1,1,2,2,"2, 2",,,,,6
Πλακιδίη κόσμησε σὺν ὀλβίστῳ παρακοίτῃ·,Πλα#κι#δί#η κόσ#μη#σε σὺν ὀλ#βίσ#τῳ πα#ρα#κοί#τῃ·,,12,5,hex,DSDSDS,,,,5F,,,,3M,5F,,,,1,,,1,2,3,,,,,6
"εἰ δέ που ἀγλαΐης ἐπεδεύετο κάλλος ἐμεῖο,","εἰ δέ που ἀγ#λα#ΐ#ης ἐ#πε#δεύ#ε#το κάλ#λος ἐ#μεῖ#ο,",,12,6,hex,DDDDDT,,,,5M,,,"1M, 1F",,5M,,1,,,1,,2,5,2,,,,,4 5 6
τήνδε μοι ὀλβιόδωρος ὑπὲρ μνήμης γενετήρων,τήν#δε μοι ὀλ#βι#ό#δω#ρος ὑ#πὲρ μνή#μης γε#νε#τή#ρων,,12,7,hex,DDDSDS,,,,5F,,,1F,,5F,,1,,,,,1,2,3,,,,,1 4 6
δῶκεν Ἰουλιανὴ καὶ ὑπέρτατον ὤπασε κῦδος,δῶ#κεν Ἰ#ου#λι#α#νὴ καὶ ὑ#πέρ#τα#τον ὤ#πα#σε κῦ#δος,,12,8,hex,DDDDDT,,,,5M,,,1F,,5M,,,,,1,1,2,5,1,,,,,1 3 4 5 6
"μητέρι καὶ γενέτῃ καὶ ἀγακλέϊ μητρὶ τεκούσης,","μη#τέ#ρι καὶ γε#νέ#τῃ καὶ ἀ#γακ#λέ#ϊ μη#τρὶ τε#κού#σης,",,12,9,hex,DDDDDS,,,,5M,,,,,5M,,1,,,1,,2,2,2,,,,,2 6
κόσμον ἀεξήσασα παλαίτερον ἐς νέον ἔργον.,κόσ#μον ἀ#ε#ξή#σα#σα πα#λαί#τε#ρον ἐς νέ#ον ἔρ#γον.,,12,10,hex,DSDDDT,,,,5F,,,1F,,5F,,,,,1,1,2,2,3,,,,,1 4 6
"Κάλλος ἔχον καὶ πρόσθεν ἐπήρατον, ἀλλ᾽ ἐπὶ μορφῇ","Κάλ#λος ἔ#χον καὶ πρόσ#θεν ἐ#πή#ρα#τον, ἀλ#λ' ἐ#πὶ μορ#φῇ",,13,1,distih,DSDDDS,,,,,,B,1F,3M,5F,,,1,,1,1,3,4,3,,,,H?,1 3 4
Οὕτω γῆρας ἐμὸν μετὰ μητέρα καὶ μετὰ τηθὴν,Οὕ#τω γῆ#ρας ἐ#μὸν με#τὰ μη#τέ#ρα καὶ με#τὰ τη#θὴν,,14,1,distih,SDDDDS,,,,5M,,,1F,,5M,,1,,1,1,1,4,1,1,M,,,,1 2 3 5
"Ἦν ἄρα καὶ κάλλους ἔτι κάλλιον εὖτ' ἐμὸν ἔργον,","Ἦν ἄ#ρα καὶ κάλ#λους ἔ#τι κάλ#λι#ον εὖ#τ' ἐ#μὸν ἔρ#γον,",,15,1,hex,DSDDDT,,,,5M,,,1M,3M,5M,,1,,1,1,1,4,2,2,,,,,1 2 4 5 6
"καὶ πρὶν ἐὸν περίπυστον, ἀοίδιμον ἐς χθόνα πᾶσαν,","καὶ πρὶν ἐ#ὸν πε#ρί#πυσ#τον, ἀ#οί#δι#μον ἐς χθό#να πᾶ#σαν,",,15,2,hex,DDDDDT,,,,5F,,B,"1M, 1F",3M,5F,,,,,1,1,2,5,"3, 3",,,,,1 2 4 6
ἀγλαΐης προτέρης ἐς ὑπέρτερον ἤγαγε κάλλος,ἀγ#λα#ΐ#ης προ#τέ#ρης ἐς ὑ#πέρ#τε#ρον ἤ#γα#γε κάλ#λος,,15,3,hex,DDDDDT,,,,5M,,,,3M,5M,,,,,1,1,2,2,2,,,,,4 5 6
"τόσσον Ἰουλιανή, ὅσον ἄστρασιν ἀντιφερίζειν. ","τόσ#σον Ἰ#ου#λι#α#νή, ὅ#σον ἄσ#τρα#σιν ἀν#τι#φε#ρί#ζειν. ",,15,4,hex,DDDDDS,,,,5M,,,1F,,5M,,,,1,1,,2,2,1,,,,,1 3 4 6
Aὐτὴν ἐργοπόνοισιν ἐπιπνείουσαν ἀρωγὴν,Aὐ#τὴν ἐρ#γο#πό#νοι#σιν ἐ#πιπ#νεί#ου#σαν ἀ#ρω#γὴν,,16,1,distih,SDDSDS,,,,5F,,,,,5F,,1,,,,,1,1,3,,,,,
οὔποτε γὰρ τοῖόν τε τόσον τ' εὐδαίδαλον ἔργον,οὔ#πο#τε γὰρ τοῖ#όν τε τό#σον τ' εὐ#δαί#δα#λον ἔρ#γον,οὔποτε γὰρ τοῖόν τε τόσοντε εὐδαίδαλον ἔργον,16,3,distih,DSDSDT,DSDCrDT,,3M,,,,,3M,5F,,1,,,,1,2,2,1,,,,,1 2 3 5 6
Οὐκέτι θαυμάζεις προτέρων κλέος· οὐ διὰ τέχνης,Οὐ#κέ#τι θαυ#μά#ζεις προ#τέ#ρων κλέ#ος· οὐ δι#ὰ τέ#χνης,,17,1,hex,DSDDDS,,,,,,B,,,5M,,1,,,1,1,3,2,2,,,,,6
"εὖχος ἐν ὀψιγόνοις λίπον ἄσπετον, ὁσσάτιόν περ","εὖ#χος ἐν ὀ#ψι#γό#νοις λί#πον ἄσ#πε#τον, ὁσ#σά#τι#όν περ",,17,2,hex,DDDDDT,,,,,,B,1F,,5M,,1,,1,1,,3,2,3,,,,,1 4 6
"κῦδος Ἰουλιανῆς πινυτόφρονος, ἣ χάριν ἔργων","κῦ#δος Ἰ#ου#λι#α#νῆς πι#νυ#τόφ#ρο#νος, ἣ χά#ριν ἔρ#γων",,17,3,hex,DDDDDS,,,,,,B,1F,,5M,,,,,1,1,2,2,3,,,,,1 3 4 5 6
ἀρχεγόνων νίκησε νοήματα πάνσοφα φωτῶν.,ἀρ#χε#γό#νων νί#κη#σε νο#ή#μα#τα πάν#σο#φα φω#τῶν.,,17,4,hex,DSDDDS,,,,5F,,,,3M,5F,,,,,1,1,2,4,3,,,,,4 5
Τῆς ἀγαθῆς ἀγαθὸς μὲν ἐγὼ κύκλος Ἀγαθονίκης,Τῆς ἀ#γα#θῆς ἀ#γα#θὸς μὲν ἐ#γὼ κύ#κλος Ἀ#γα#θο#νί#κης,,18,1,distih,DDDDTbS,,,,5F,,,1M,3M,5F,7M,,,,1,,1,2,1,,,,,1 2 3 4 6
"Ὦ, πυρὸς ἀενάοιο σοφὴν ὠδῖνα φυλάσσων,","Ὦ, πυ#ρὸς ἀ#εν#ά#οι#ο σο#φὴν ὠ#δῖ#να φυ#λάσ#σων,",,19,1,hex,DDDSDS,,,,5F,,,1M,,5F,7M,1,,,,,1,2,3,,,,,1 4 5 6
"ἐμβεβαὼς κόσμοιο παλινδίνητον ἀνάγκην,","ἐμ#βε#βα#ὼς κόσ#μοι#ο πα#λιν#δί#νη#τον ἀ#νάγ#κην,",,19,2,hex,DSDSDS,,,3M,,,,,3M,5F,,,,,,,0,2,1,,,,,2 6
"Χριστέ, θεοῤῥήτοιο βίου φυσίζοε πηγή,","Χρισ#τέ, θε#οῤ#ῥή#τοι#ο βί#ου φυ#σί#ζο#ε πη#γή,",,19,3,hex,DSDSDS,,1F,,,7M,,1F,,5F,7M,,,,,1,1,1,2,,,,,5
"πατρὸς ἀσημάντοιο θεοῦ πρωτόσπορε φωνή,","πατ#ρὸς ἀ#ση#μάν#τοι#ο θε#οῦ πρω#τόσ#πο#ρε φω#νή,",,19,4,hex,DSDSDS,,,,,7M,,1F,,5F,7M,,,,,1,1,1,4,,,,,4 5
ὃς μετὰ μητρῴων τοκετῶν ἐγκύμονα φόρτον,ὃς με#τὰ μητ#ρῴ#ων το#κε#τῶν ἐγ#κύ#μο#να φόρ#τον,,19,5,hex,DSDSDT,,,,,7M,,1M,,5M,7M,1,,,,1,2,2,4,,,,,1 4 5 6
καὶ γόνον αὐτοτέλεστον ἀνυμφεύτων ὑμεναίων,καὶ γό#νον αὐ#το#τέ#λεσ#τον ἀ#νυμ#φεύ#των ὑ#με#ναί#ων,,19,6,hex,DDDSDS,,,,5F,,,1M,,5F,,1,,,,,1,2,3,,,,,1 6
"στήσας ἄσσυρίης γενεῆς ἑτερόφρονα λύσσαν,","στή#σας ἄσ#συ#ρί#ης γε#νε#ῆς ἑ#τε#ρόφ#ρο#να λύσ#σαν,",,19,7,hex,SDDDDT,,,,,7M,,,,5M,7M,1,,,,1,2,2,4,,,,,1 2 4 5 6
"ὄργια δ' εἰδώλων κενεῶν ψευδώνυμα λύσας,","ὄρ#γι#α δ' εἰ#δώ#λων κε#νε#ῶν ψευ#δώ#νυ#μα λύ#σας,",,19,8,hex,DSDSDS,,,,,7M,,,,5M,7M,1,,,,1,2,2,4,,,,,1 4 5 6
"αἰθέρος ἀμφιβέβηκας ἐφ' ἑπτάζωνον ὀχῆα,","αἰ#θέ#ρος ἀμ#φι#βέ#βη#κας ἐ#φ' ἑπ#τά#ζω#νον ὀ#χῆ#α,",,19,9,hex,DDDSDT,,,,5F,,,,,5F,,1,,,,,1,5,3,,,,,6
"ἀγγελικαῖς πτερύγεσσιν ἐν ἀῤῥήτοισι θαάσσων,","ἀγ#γε#λι#καῖς πτε#ρύ#γεσ#σιν ἐν ἀῤ#ῥή#τοι#σι θα#άσ#σων,",,19,10,hex,DDDSDS,,,,5F,,,,3M,5F,,,,1,,,1,2,3,,,,,2 6
"ἵλαθι, παγγενέταο θεοῦ πρεσβήϊον ὄμμα,","ἵ#λα#θι, παγ#γε#νέ#τα#ο θε#οῦ πρεσ#βή#ϊ#ον ὄμ#μα,",,19,11,hex,DDDSDT,,,,,7M,,,,5F,7M,1,,,,1,2,2,4,,,,,1 4 5 6
"φρουρὲ βίου, σῶτερ μερόπων, αἰῶνος ἀνάσσων.","φρου#ρὲ βί#ου, σῶ#τερ με#ρό#πων, αἰ#ῶ#νος ἀ#νάσ#σων.",,19,12,hex,DSDSDS,,,3M,,7M,,1F,3M,5M,7M,,,,,,0,2,"2, 2",,,,,5 6
