Hexameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tοῦτο γέρας λάχεν ἐσθλὸς Ἀμάντιος, ὡς βασιλῆϊ","Tοῦ#το γέ#ρας λά#χεν ἐσ#θλὸς Ἀ#μάν#τι#ος, ὡς βα#σι#λῆ#ϊ",,96,1,hex,DDDDDT,,,,,,B,1F,3M,5F,,,1,,1,,2,5,3,,,,,1 4 6
"πιστὸς ἐών, Χριστὸν δὲ θεουδείῃσιν ἰαίνων.","πισ#τὸς ἐ#ών, Χρισ#τὸν δὲ θε#ου#δεί#ῃ#σιν ἰ#αί#νων.","πιστὸς ἐών, Χριστὸν δὲ θεουδίησιν ἰαίνων.",96,2,hex,DSDSDS,DSDTDS,,3M,,,,1F,3M,5F,,,,,,,0,2,1,,,,,2 3  6
"Nηὸς ἐγὼ κύδιστος Ἰουστίνοιο ἄνακτος,","Nη#ὸς ἐ#γὼ κύ#δισ#τος Ἰ#ουσ#τί#νοι#ο ἄ#νακ#τος,",,97,1,hex,DSDSDT,,,,5F,,,1F,3M,5F,,,,,,,0,3,3,,,,,2
"καί μ' ὕπατος Θεόδωρος, ὁ καρτερός, ὁ τρὶς ὕπαρχος,","καί μ' ὕ#πα#τος Θε#ό#δω#ρος, ὁ καρ#τε#ρός, ὁ τρὶς ὕ#παρ#χος,",,97,2,hex,DDDDDT,,,,5F,,B,1M,3M,5F,,,,1,1,,2,3,"3, 1",,,,,1
"ἄνθετο καὶ βασιλῆϊ καὶ υἱέϊ παμβασιλῆος,","ἄν#θε#το καὶ βα#σι#λῆ#ϊ καὶ υἱ#έ#ϊ παμ#βα#σι#λῆ#ος,",,97,3,hex,DDDDDT,,,,5F,,,,,5F,,1,,1,1,,3,5,5,,,,,1 2 3 6
"Ἰουστινιανῷ, στρατιῆς ἡγήτορι πάσης.","Ἰ#ουσ#τι#νι#α#νῷ, στρα#τι#ῆς ἡ#γή#το#ρι πά#σης.",,97,4,hex,ICrDSDS ,,,,5M,,,,,5M,7M,,,,,1,1,2,4,,,,,3 4 5 6
"Ἔργον ὁρᾷς περίπυστον Ἰουστίνου βασιλῆος,","Ἔρ#γον ὁ#ρᾷς πε#ρί#πυσ#τον Ἰ#ουσ#τί#νου βα#σι#λῆ#ος,",,98,1,hex,DDDSDT,,,,5F,,,1F,3M,5F,,,,,,,0,5,3,,,,,1 2 6
"Ἰουστινιανοῦ τε μεγασθενέος στρατιάρχου,","Ἰ#ουσ#τι#νι#α#νοῦ τε με#γασ#θε#νέ#ος στρα#τι#άρ#χου,",,98,2,hex,ICrDDDS ,,,,5F,,,,,5F,,,,,,,0,2,5,,,,,3 6
λαμπόμενον στεροπῇσιν ἀμετρήτοιο μετάλλου·,λαμ#πό#με#νον στε#ρο#πῇ#σιν ἀ#μετ#ρή#τοι#ο με#τάλ#λου·,,98,3,hex,DDDSDS,,,,5F,,,,3M,5F,,,,,,,0,2,5,,,,,3  6
"τοῦτο κάμεν Θεόδωρος ἀοίδιμος, ὃς πόλιν † ἄρας","τοῦ#το κά#μεν Θε#ό#δω#ρος ἀ#οί#δι#μος, ὃς πό#λιν †ἄ#ρας",,98,4,hex,DDDDDS,,,,,,B,1F,3M,5F,,,,,1,1,2,2,3,,,,,1 4 5 6
τὸ τρίτον ἀμφιβέβηκεν ἔχων ὑπατηΐδα τιμήν.,τὸ τρί#τον ἀμ#φι#βέ#βη#κεν ἔ#χων ὑ#πα#τη#ΐ#δα τι#μήν.,,98,5,hex,DDDDDS,,,,5F,,,1M,,5F,7M,1,,,,1,2,1,3,,,,,1
"Μεσσηγὺς γαίης τε καὶ οὐρανοῦ ἵσταται ἀνήρ, ","Μεσ#ση#γὺς γαί#ης τε καὶ οὐ#ρα#νοῦ ἵσ#τα#ται ἀ#νήρ, ",,99,1,distih,SSDDDS,,,,,,B,,3M,5F,,,,1,1,1,3,1,4,,,,,2 5
"<Τοὔνομα μὲν Δανιήλ, μεγάλῳ Συμεῶνι δ' ἐρίζει,>","<Τοὔ#νο#μα μὲν Δα#νι#ήλ, με#γά#λῳ Συ#με#ῶ#νι δ' ἐ#ρί#ζει,>",,99,3,distih,DDDDDS,,,,5M,,,,3M,5M,7M,1,,,,,1,2,1,,,,,1 2 3 5 6
"λιμῷ δ' ἀμβροσίᾳ τρέφεται καὶ ἀναίμονι δίψῃ,","λι#μῷ δ' ἀμ#βρο#σί#ᾳ τρέ#φε#ται καὶ ἀ#ναί#μο#νι δί#ψῃ,",,99,5,distih,SDDDDS,,,,,7M,,,,5M,7M,1,,,,1,2,2,3,,H,,,5 6
"Νείλου μὲν ποταμοῖο ῥόος χθόνα οἶδε ποτίζειν,","Νεί#λου μὲν πο#τα#μοῖ#ο ῥό#ος χθό#να οἶ#δε πο#τί#ζειν,",,100,1,hex,SDDDDS,,,,,7M,,,3M,5F,7M,1,,,1,,2,2,2,,,,,1 2 3 5 6
Νείλου δ' αὖ μοναχοῖο λόγος φρένας οἶδεν ἰαίνειν.,Νεί#λου δ' αὖ μο#να#χοῖ#ο λό#γος φρέ#νας οἶ#δεν ἰ#αί#νειν.,,100,2,hex,SDDDDS,,,,,7M,,,3M,5F,7M,1,,,1,,2,2,2,,,,,1 2 3 5 6
"Ἦν πάρος ἐν πέρσῃσιν ἐγὼ μάγος Ἰσβοζήτης,","Ἦν πά#ρος ἐν πέρ#σῃ#σιν ἐ#γὼ μά#γος Ἰσ#βο#ζή#της,",,101,1,distih,DSDDSS,,,,5F,,,1M,,5F,7M,1,,,1,,2,2,3,,,,,1 4 6
"Εὖτε δὲ πυρσὸς ἔδαπτεν ἐμὴν πόλιν, ἦλθον ἀρῆξαι·","Εὖ#τε δὲ πυρ#σὸς ἔ#δαπ#τεν ἐ#μὴν πό#λιν, ἦλ#θον ἀ#ρῆ#ξαι·",,101,3,distih,DDDDDS,,,,,,B,1F,3F,5F,7M,1,,,1,,2,5,2,M,,,,1 4 5 6
"κείνῳ δ' ἐσβέσθη δύναμις πυρός, ἀλλὰ καὶ ἔμπης","κεί#νῳ δ' ἐσ#βέσ#θη δύ#να#μις πυ#ρός, ἀλ#λὰ καὶ ἔμ#πης",,101,5,distih,SSDDDS,,,,,,B,,,5M,7M,1,,,1,1,3,2,1,,,,,1 6
"Ὦ, πάντων ἐπέκεινα, τί γὰρ πλέον ἄλλο σε μέλψω; ","Ὦ, πάν#των ἐ#πέ#κει#να, τί γὰρ πλέ#ον ἄλ#λο σε μέλ#ψω; ",,102,1,hex,SDDDDS,,,,5F,,,1M,3M,5F,,,,1,1,1,3,2,3,,,,,1 4 5 6
Πῶς σὲ τὸν ἐν πάντεσσιν ὑπείροχον ἐξονομήνω;,Πῶς σὲ τὸν ἐν πάν#τεσ#σιν ὑ#πεί#ρο#χον ἐ#ξο#νο#μή#νω;,,102,2,hex,DSDDDS,,,,,,B,"1M, 1F",,5F,,1,,,1,,2,2,3,,,,,1 4 6
Πῶς δὲ λόγῳ μέλψω σὲ τὸν οὐδὲ λόγῳ περιληπτόν;,Πῶς δὲ λό#γῳ μέλ#ψω σὲ τὸν οὐ#δὲ λό#γῳ πε#ρι#ληπ#τόν;,,102,3,hex,DSDDDT,,,,5F,,,"1M, 1F",3M,5F,,,,1,,,1,1,1,,H,,,1
"Μῶμε μιαιφόνε, σός σε κατέκτανε πικρὸς ὀϊστός·","Μῶ#με μι#αι#φό#νε, σός σε κα#τέκ#τα#νε πικ#ρὸς ὀ#ϊσ#τός·",,103,1,hex,DDDDDT,,,,,,,1F,,5M,,,1,,1,,2,1,,,,,,1 3 4
"ῥύσατο γὰρ μανίης με τεῆς θεὸς, ὄλβιον οἶκον.","ῥύ#σα#το γὰρ μα#νί#ης με τε#ῆς θε#ὸς, ὄλ#βι#ον οἶ#κον.",,103,2,hex,DDDDDT,,,,,,B,,3M,5M,7M,1,,,1,1,3,5,1,,,,,1 2 4 5 6 
Mάρτυρος Ἀκακίοιο Ἀλεξάνδρου θ' ἱερῆος,Mάρ#τυ#ρος Ἀ#κα#κί#οι#ο Ἀ#λε#ξάν#δρου θ' ἱ#ε#ρῆ#ος,,104,1,hex,DDDSDT,,,,5F,,,,,5F,,1,,,,,1,5,3,,,,,1 6
"ἐνθάδε σώματα κεῖται, ἅπερ χρόνος ὄλβιος ηὗρε.","ἐν#θά#δε σώ#μα#τα κεῖ#ται, ἅ#περ χρό#νος ὄλ#βι#ος ηὗ#ρε.","ἐνθάδε σώματα κεῖται, τάπερ χρόνος ὄλβιος ηὗρε.",104,2,hex,DDDDDT,DDAbaccDDT,,,5F,,,,,5F,7M,1,1,,1,1,4,5,5,,,,,2 3 5 6
"Οὐ σοφίης ἀπάνευθεν Ἀδὰμ τὸ πρὶν ἐκαλεῖτο,","Οὐ σο#φί#ης ἀ#πά#νευ#θεν Ἀ#δὰμ τὸ πρὶν ἐ#κα#λεῖ#το,",,108,1,hex,DDDSDT,,,,5F,,,1M,3M,5F,7M,,,,1,,1,5,3,,,N?,,4 5 6
τέσσαρα γράμματ' ἔχων εἰς τέσσαρα κλίματα κόσμου·,τέσ#σα#ρα γράμ#μα#τ' ἔ#χων εἰς τέσ#σα#ρα κλί#μα#τα κόσ#μου·,,108,2,hex,DDSDDS,,,,5M,,,,,5M,,1,,1,1,1,4,2,2,,,,,1  2 4 5 6
"ἄλφα γὰρ ἀντολίης ἔλαχεν, δύσεως δὲ τὸ δέλτα,","ἄλ#φα γὰρ ἀν#το#λί#ης ἔ#λα#χεν, δύσ#ε#ως δὲ τὸ δέλ#τα,",,108,3,hex,DDDDDT,,,,,7M,,1F,,5M,7M,1,,,,1,2,2,3,,,,,1 6
"ἄλφα πάλιν δ' ἄρκτοιο, μεσημβρίης δὲ τὸ λοιπόν.","ἄλ#φα πά#λιν δ' ἄρ#κτοι#ο, με#σημ#βρί#ης δὲ τὸ λοι#πόν.",,108,4,hex,DSDSDT,,,,5F,,,1F,3M,5F,,,,,,1,1,1,3,,,,,1
Παρθένος υἱέα τίκτε· μεθ' υἱέα παρθένος ἦεν.,Παρ#θέ#νος υἱ#έ#α τίκ#τε· με#θ' υἱ#έ#α παρ#θέ#νος ἦ#εν.,Παρθένος υἱέα τίκτει· μεθ' υἱέα παρθένος ἦεν.,115,1,hex,DDDDDT,DDAbaccDDT,,,5F,,,,,5F,,1,1,,1,1,4,5,2,,,,,3 6
"Χριστὲ μάκαρ, μερόπων φάος ἄφθιτον, υἱὲ θεοῖο,","Χρι#στὲ μά#καρ, με#ρό#πων φά#ος ἄφ#θι#τον, υἱ#ὲ θε#οῖ#ο,",,116,1,distih,DDDDDT,,,3M,,,B,1F,3M,5M,,,,1,1,,2,5,"2, 3",,,,,4 6
"Δέχνυσο, παρθενικῆς τέκος ἄφθιτον, υἱὲ θεοῖο,","Δέχ#νυ#σο, παρ#θε#νι#κῆς τέ#κος ἄφ#θι#τον, υἱ#ὲ θε#οῖ#ο,",,116,3,distih,DDDDDT,,,,,,B,,,5M,,1,,1,1,,3,5,3,,,,,1 3 4 6
"Βίβλος Πατρικίοιο θεουδέος ἀρητῆρος,","Βίβ#λος Πατ#ρι#κί#οι#ο θε#ου#δέ#ος ἀ#ρη#τῆ#ρος,",,119,1,hex,SDDDST,,,,5F,,,,,5F,,1,,,1,,2,5,3,,,,,1 6
ὃς μέγα ἔργον ἔρεξεν ὁμηρείης ἀπὸ βίβλου,ὃς μέ#γα ἔρ#γον ἔ#ρε#ξεν| ὁ#μη#ρεί#ης ἀ#πὸ βίβ#λου,,119,2,hex,DDDSDS,,,,5F,,,1M,3F,5F,,1,,,,1,2,2,3,M,,,,1 2  6
"κυδαλίμων ἐπέων τεύξας ἐρίτιμον ἀοιδήν,","κυ#δα#λί#μων ἐ#πέ#ων τεύ#ξας ἐ#ρί#τι#μον ἀ#οι#δήν,",,119,3,hex,DDSDDS,,,,5M,,,,3M,5M,7M,,,,,,0,1,2,,,,,
πρήξιας ἀγγελέουσαν ἀνικήτοιο θεοῖο·,πρή#ξι#ας ἀγ#γε#λέ#ου#σαν ἀ#νι#κή#τοι#ο θε#οῖ#ο·,,119,4,hex,DDDSDT,,,,5F,,,,,5F,,1,,,,,1,5,3,,,,,1 6
"ὡς μόλεν ἀνθρώπων ἐς ὁμήγυριν, ὡς λάβε μορφὴν","ὡς μό#λεν ἀν#θρώ#πων ἐς ὁ#μή#γυ#ριν, ὡς λά#βε μορ#φὴν",,119,5,hex,DSDDDS,,,,,,B,1M,,5M,,1,,,1,1,3,1,3,,,,,4
"ἀνδρομέην, καὶ γαστρὸς ἀμεμφέος ἔνδοθι κούρης","ἀν#δρο#μέ#ην, καὶ γασ#τρὸς ἀ#μεμ#φέ#ος ἔν#δο#θι κού#ρης",,119,6,hex,DSDDDS,,,3M,,,,,3M,5F,,,1,,1,1,3,2,2,,,,H,5 6
"κρύπτετο τυτθὸς ἐών, ὃν ἀπείριτος οὐ χάδε κύκλος·","κρύπ#τε#το τυτ#θὸς ἐ#ών, ὃν ἀ#πεί#ρι#τος οὐ χά#δε κύκ#λος·",,119,7,hex,DDDDDT,,,,5M,,,,,5M,,1,,,1,1,3,2,1,M,,,,1 3 4 6
ἠδ' ὡς παρθενικῆς θεοκύμονος ἔσπασε μαζὸν,ἠ#δ' ὡς παρ#θε#νι#κῆς θε#ο#κύ#μο#νος ἔσ#πα#σε μα#ζὸν,,119,8,hex,SDDDDT,,,,5M,,,,,5M,,1,,,1,1,3,1,4,,,,,3 4 5
παρθενίοιο γάλακτος ἀναβλύζοντα ῥέεθρον·,παρ#θε#νί#οι#ο γά#λακ#τος ἀ#ναβ#λύ#ζον#τα ῥέ#εθ#ρον·,,119,9,hex,DDDSDT,,,,5F,,,,3F,5F,,,,,,,0,3,3,M,,,,
"ὡς κτάνεν Ἡρῴδης ἀταλάφρονας εἰσέτι παῖδας,","ὡς κτά#νεν Ἡ#ρῴ#δης ἀ#τα#λάφ#ρο#νας εἰ#σέ#τι παῖ#δας,",,119,10,hex,DSDDDT,,,,5M,,,1M,,5M,,1,,,1,1,3,5,2,,,,,4 6
"νήπιος, ἀθανάτοιο θεοῦ διζήμενος οἶτον·","νή#πι#ος, ἀ#θα#νά#τοι#ο θε#οῦ δι#ζή#μεν#ος οἶ#τον·",,119,11,hex,DDDSDT,,,,,7M,,,,5F,7M,1,,,,1,2,5,4,,,,,1 4 5 6
ὥς μιν Ἰωάννης λοῦσεν ποταμοῖο ῥεέθροις·,ὥς μιν Ἰ#ω#άν#νης λοῦ#σεν πο#τα#μοῖ#ο ῥε#έθ#ροις·,,119,12,hex,DSSDDS,,,,,7M,,"1M, 1F",,5M,7M,,,,,,0,2,5,,,,,1 5  6
ὥς τε δυώδεκα φῶτας ἀμύμονας ἔλλαβ᾽ ἑταίρους·,ὥς τε δυ#ώ#δε#κα φῶ#τας ἀ#μύ#μο#νας ἔλ#λα#β' ἑ#ταί#ρους·,,119,13,hex,DDDDDS,,,,,,B,"1M, 1F",,5F,,,1,,1,,2,2,3,,,,,1 2 3 4 5 6
"ὅσσων τ´ ἄρτια πάντα θεὸς τεκτήνατο γυῖα,","ὅσ#σων τ' ἄρ#τι#α πάν#τα θε#ὸς τεκ#τή#να#το γυῖ#α,",,119,14,hex,SDDSDT,,,,5F,,,,,5F,7M,1,1,,,1,3,5,2,,,,,1 2 3 4 5 6
νούσους τ' ἐξελάσας στυγερὰς βλεφάρων τ' ἀλαωτύν·,νού#σους τ' ἐ#ξε#λά#σας στυ#γε#ρὰς βλε#φά#ρων τ' ἀ#λα#ω#τύν·,,119,15,hex,SDDDDT,,,,,7M,,,,5M,7M,1,,,,,1,1,1,,,,,1 4
ἠδ' ὅ<π>πως ῥείοντας ἀπέσβεσεν αἵματος ὁλκοὺς,ἠ#δ' ὅ<π>#πως ῥεί#ον#τας ἀ#πέσ#βε#σεν αἵ#μα#τος ὁλ#κοὺς,,119,16,hex,SSDDDS,,,,,5F,,1M,3M,5F,,,,,1,1,2,1,2,,,,,4 5
ἁψαμένης ἑανοῖο πολυκλαύτοιο γυναικός·,ἁ#ψα#μέν#ης ἑ#α#νοῖ#ο πο#λυκ#λαύ#τοι#ο γυ#ναι#κός·,,119,17,hex,DDDSDT,,,,,5F,,,3M,5F,,,,,,,0,1,1,,,,,3
ἠδ' ὅσσους μοίρῃσιν ὑπ' ἀργαλέῃσι δαμέντας,ἠ#δ' ὅσ#σους μοί#ρῃ#σιν ὑ#π' ἀρ#γα#λέ#ῃ#σι δα#μέν#τας,,119,18,hex,SSDDDT,,,,,,,,3M,5F,,,,,,,0,2,,,,,,6
ἤγαγεν ἐς φάος αὖθις ἀπὸ χθονίοιο βερέθρου·,ἤ#γα#γεν ἐς φά#ος αὖ#θις ἀ#πὸ χθο#νί#οι#ο βε#ρέ#θρου·,,119,19,hex,DDDDDS,,,,5F,,,,,5F,,1,1,,,,2,2,5,,,,,1  3  4 6
ὥς τε πάθους ἁγίου μνημήια κάλλιπεν ἄμμιν·,ὥς τε πά#θους ἁ#γί#ου μνη#μή#ι#α κάλ#λι#πεν ἄμ#μιν·,,119,20,hex,DDSDDT,,,,5M,,,"1M, 1F",3M,5M,,,,,1,1,2,2,2,,,,,1 4 5 6
"ὥς τε βροτῶν ὑπὸ χερσὶ τάθη κρυεροῖς ἐνὶ δεσμοῖς,","ὥς τε βρο#τῶν ὑ#πὸ χερ#σὶ τά#θη κρυ#ε#ροῖς ἐ#νὶ δεσ#μοῖς,",,119,21,hex,DDDDDS,,,,,7M,,"1M, 1F",3M,5F,7M,,1,,,1,2,4,2,,,,,1 2 5
αὐτὸς ἑκών· |οὐ γάρ τις ἐπιχθονίων πολεμίζοι|,αὐ#τὸς ἑ#κών· οὐ γάρ τις ἐ#πιχ#θο#νί#ων πο#λε#μί#ζοι,,119,22,hex,DSDDDS,,,3M,,,,1F,3M,5F,,,1,,,,1,2,1,,,,H?,2  3 6
"ὑψιμέδοντι θεῷ, |ὅτε μὴ αὐτός γε κελεύοι·|","ὑ#ψι#μέ#δον#τι θε#ῷ, ὅ#τε μὴ αὐ#τός γε κε#λεύ#οι·",,119,23,hex,DDDSDS,,,,5M,,,,3F,5M,7M,,,1,,,1,2,4,M,,,,3 4  5 6
"ὡς θάνεν· ὡς Ἀίδαο σιδήρεα ῥῆξε θύρετρα,","ὡς θά#νεν· ὡς Ἀ#ί#δα#ο σι#δή#ρε#α ῥῆ#ξε θύ#ρε#τρα,",,119,24,hex,DDDDDT,,,,,,,1M,,5F,,1,,,1,,2,3,,,,,,4 5
κεῖθεν δὲ ψυχὰς θεοπειθέας |οὐρανὸν εἴσω|,κεῖ#θεν δὲ ψυ#χὰς θε#ο#πει#θέ#ας οὐ#ρα#νὸν εἴ#σω,,119,25,hex,SSDDDS,,,,,,B,,3M,5M,,1,,,1,1,3,2,2,,,,,1 2 3 6
"ἤγαγεν ἀχράντοισιν ὑπ' ἐννεσίῃσι τοκῆος,","ἤ#γα#γεν ἀ#χράν#τοι#σιν ὑ#π' ἐν#νε#σί#ῃ#σι το#κῆ#ος,",,119,26,hex,DSDDDT,,,,,,,,,5F,,1,,,,,1,5,,,,,,1 6
|ἀνστὰς ἐν τριτάτῃ φαεσιμβρότῳ ἠριγενείῃ|,ἀν#στὰς ἐν τρι#τά#τῃ φα#ε#σιμ#βρό#τῳ ἠ#ρι#γε#νεί#ῃ,,119,27,hex,SDDDDS,,,,,,,,,5M,,1,,,1,,2,2,,,,,,6
ἀρχέγονον βλάστημα θεοῦ γενετῆρος ἀνάρχου.,ἀρ#χέ#γο#νον βλάσ#τη#μα θε#οῦ γε#νε#τῆ#ρος ἀ#νάρ#χου.,,119,28,hex,DSDDDS,,,,5F,,,,3M,5F,7M,,,,,,0,2,3,,,,,4 5 6
"Πέτρα τρισμακάριστε θεόσσυτον αἷμα λαχοῦσα,","Πέτ#ρα τρισ#μα#κά#ρισ#τε θε#όσ#συ#τον αἷ#μα λα#χοῦ#σα,",,123,1,hex,SDDDDT,,,,5F,,,,,5F,,1,,,1,,2,5,3,,,,,1 4 5 6
"οὐρανίη γενεή σε πυρίπνοος ἀμφιπολεύει,","οὐ#ρα#νί#η γε#νε#ή σε πυ#ρίπ#νο#ος ἀμ#φι#πο#λεύ#ει,",,123,2,hex,DDDDDS,,,,,,B,,3M,5F,,,,,1,,1,2,3,,,,,3 4 6
καὶ χθονὸς ἐνναετῆρες ἀνάκτορες ὑμνοπολοῦσι.,καὶ χθο#νὸς ἐν#να#ε#τῆ#ρες ἀ#νάκ#το#ρες ὑμ#νο#πο#λοῦ#σι.,,123,3,hex,DDDDDT,,,,,,B,1M,,5F,,1,,,1,,2,5,3,,,,,1 3 4 6
TOTAL,,,,,,,Fem.,10,1,147,2,,,,,,,,,,,,,,,,,,
,,,,,,,Masc.,,23,75,33,,,,,,,,,,,,,,,,,,
,,,,,,,Bucol.,,,,,78,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
